2026-07-25 02:23:09 | steps=27353 | digits=1026 | max_val_digits=1026 | n=956983794987699885002783987189521679452054030174608278645343743855426642411209142170969431188404865879362199534595724170408464493202542306916609529188744911988532573315219819100038702570965005571380419072028140722955678363913526792793725736784599003419027413737020245631472048246973417398429840250981175750877004918297057037509798539480004631657674632492268448549678109418009226388792733463837162793344327717898648596329980974815732340478530770559373101060429830941153052676838840664647365405095884081438286208611107735441180825341007099811106645141778150147147583588015416046293679979301587933504730263601714937802634922150393608187708145590603947728218534440486793586036029822848356324194181050289040409412399007856923807098955558826958216439858624770167058140652031336097223687996034214206020244960541139573187140210834187381660266410802567997645685083549919906445053923266422213501330406534693498452043987542830284876942073876028918926695634508889668955078664212910370105794641144596764302402559494835098952347698534981709
2026-07-25 02:24:32 | steps=27681 | digits=1026 | max_val_digits=1026 | n=134202151232743284446318099491203743447159859241503658504749295743696695047880752183801912118973716129537403821656046270429954960912573556606324440080331189984943808945840914799234625090011895975605084252557679757309899155160363389095819165699378832531427742137749918510503075349478217644948858100573260961121673940848986589139307473894849958056763847386604178524558765728864711304858403689008910216765934755209666903369902421355639686463567633163015187210998965488601267777510328466230297042241241138145889904519804751357577813615045202650121196332458356113988594789226170241702023285650267277660407751730757133483462309561650881558415192382729066991659157774731217165704431466163951632286914559822200690285054800544708464704119651702555393357881925519670215681938742229601908247780932835591665949467400702367161556324713688229124141392397987184479954298204090291220747056761786576313389192183824879220172151248592751531438356237943248581354242154375284739907705586740604099923212031585683517685876216424168132414317181154247
2026-07-25 02:25:00 | steps=27862 | digits=1026 | max_val_digits=1026 | n=778504661761733569883805341922081456165106716519477091495283465324135676223543619947346979065834904770485802544938751223041484193935700923819600719116597723205177865708848632509454131538617704932065110424349939834882993673042626596875144953390175231927852554653901565159846500437662357703009779377386699328528090175573129764893722732561445445605482039915855343185890955420829213483394785408231972597941145210123891598335978789100628777292538237093096503264712646359318506948870758857010858319876400958332331730575869079833335464572333075976072419575161820604279470384200711585161614856400016744656400532731589053055180486025553999098932053712041799897381786557659131952272186741321728919585837237075345916803811834662549747833473806315909364387856777475202879955946556240410419321375146177619924572813054643135190817265773610736407342967487731045104123986473529764158194693882547074043643493253019443575007989505791218434160128701929884583502996910647198024208961879929469925329650518929950037034384551758255380466790507185363
2026-07-25 02:34:37 | steps=27939 | digits=1026 | max_val_digits=1027 | n=556896111047832139626969789215677899880080148036751487674653298004996559477399772349270951419693557837943863676612676361276266016845845161305038512884176539032061561604271025552778101551693373422493053094583945674817945541040235779610948624215127997528326610131550500657999165814718674083611592307712392254529875498732220483780905459086556364933445236604390726256875620216028164027314803610948145632838163698934719664416355077294123904989182286212738233096356691033366685081300069916514288344050579187586053689759318745415173818999171391808939035324518539100409718258804940487299852405326559599749159441835879674041683889795688092885520577912812714530280063445360229973347813493917950471763472549371330321246725264633082201886137949439527755180185576416372721827460008571200524924601801173072025274035330635926061403409730451595492234572426288479716821209378104796116208566303756424363561402636110925187205404572206593336887440329036878815661003822677299545276543616649660629822555704067110964703879862486849941756665174946615
2026-07-25 02:53:26 | steps=27963 | digits=1026 | max_val_digits=1026 | n=905946279219314034585692213509483801833497793912310722258972869624475564640927189365784593731520258934084454532516481852216601098558941457104533317026042691578078177265852787762632265834682000160229017575132149992890241775307628490377697344350663658317101185230392404795947141465455102613688907599419630942625459388307746236170113380579019577138920234441051290281550913429521929151534475675810091594218716208490652871930657636848242331857429656971472392887875743697713326881047413407857309830563122293470218571995962119309135040064766358329009769288985490959412641105194066143375962668767221028283294849721070615071415470977434702120351528487905720879849086579081077677976745101675505297269606745051375731953205928658359893014859004525173280313455670721160714288946857949066624580677115618472268414975834941479511809419781157915201775047689664240740792084363683465381127039747835530501322912463364262002997384395009162777042592400457289207805831519401776047538326222209769765941653550220295511238722201223236864969782930784489
2026-07-25 02:57:19 | steps=27976 | digits=1026 | max_val_digits=1026 | n=976705742716311839902971231780695755510950881663425967139382333336181250923113310253856029106439019758954971905293425662675081791351131263580720232046267121569601660340067229398479731926587553695955789493521506713599388207355615699890620390590004550392733465533551881981858404221399701772572148002287037803888190497576937486704269533904565908715512785696334697055762855884219464509922563601424105562683087732410979111662238069214801207374308351953897086040515493415910300740247578601860232488321668469995941290161892021112655306826556646880034162454181598086147552326771032288153732747291864180124978343223804980121236390418242460157732861769820497973074048035762167998209922816458617141659703236909580561819658224065914351172830592989275998202008193433316496391931884021995356087679722810945142793495806994139151950340652526568684972513314509758181593634329018470571558493510849872345440013319895467309216231033026048671315364769618573718477797208455368538805087830844985981644971480035833219010689865214151253293757990694929
2026-07-25 03:00:37 | steps=27988 | digits=1026 | max_val_digits=1026 | n=491324371122537019420478400323167190989241019853036280705523992122315925533212188543654524744573030873800501262967268526738615560120727545133247166526004640369841182064180959438855341418637538256353435819329662208378308676854950044969016235255723658795862781160045518527205162394194245713532424246686582022108438317265338512356392318205398419001080302231218886292348506079789121196725286893281602927996762540961478518521904570677561375927818417067938871785064038342464263399739029311954913821526461206981381543657354683777866267499985874864014872292283628563940697336260389915496519516044000151937676272218649149151121119985361950746991697680655121887113283423076263316551683934050925077221084760767853816079170846116955198005989503004154269383688915345487613682562802958335728365583306733854008291963768045443991058177637975638488073464500234864173676761387163729275561880804468881573408171406593731781774601892416798629481113473820230168492819657043968290905203467141167560300670563673955436353489316180697388529300876789721
2026-07-25 03:14:58 | steps=28226 | digits=1026 | max_val_digits=1026 | n=623196734062164748983409281161147518761514318211999420907762262960163785200578250117501527449712371341401376203734486190829081338796060134640371030162570143546647136341078478319892159625537181945306335479618557344563032829220993796989093197439809838545804608244445387821929387125265339745676576529715404262304618543754345784905140786281650606353007725451661362697461905499634941762788826471028940559081988473679034445090418227023853358650462291612295764238420101138576024881960061235525696195382725412848727103574425138858039552386083688420874284186730263416673863687761617126525145892682572073407471465470308128407410128337674086826778173067712067420275536536345500299156439571782209280771361821409241633576425920722352181969238208710907660036478873407717480379771955103152618233375795493962780529730705071777291963654812666273394759973279094857877244196249326927774669767743113850655956006322650123821577056604160565850011629101231988060044110088073819827116683643048147591902928083593104189591990109172595202013514405658213
2026-07-25 03:54:38 | steps=28387 | digits=1026 | max_val_digits=1027 | n=969609954223681584803549384626484108124547318984792514929123794360144312591483839527208875409178062204942094208501667408794286227409338324786167667286820386983655391948517017442793833639973475922808434852577188302609284781805745327816213863775435000722791684097293560427676289895284996730797374078366451889827659558172249018617385264238413162262294664804056224623153338119457029096352997621453103946698444386590850818208017267260833222216077201645627499343749164684060806508641357152608923743103606376659856371891136038111532566806227305460923095061187896830510722603538140800814573622046742633923124091322180390780135395501573047929110026851414359595011622147543378298067528328692241809212384103276841179873290696944717622744660255966638576076764873032947404424375160702507858147469918013855899398571713035462862137471837073602021174327774253354234218569089463370104198418736986793274473131584330658397691393248457147981424274926634791629905272725541491935055374545089538464708007093991938579992572726488680627289981526855515
2026-07-25 04:38:00 | steps=28596 | digits=1026 | max_val_digits=1026 | n=763083544441706141820821414389530062803128529843495266362933825041722170976799115285363587362726138706954265794239424917027483182640687477396382491904983986587405598608962683286195929749695880393654469526287291768211019609071928018514340422229458173571483439856415181568724767703392719939836508012012844030981125435343890597495653616157560095840250293459619259371783152909794804581119323630579519916733533774527107151959616440577655131291015317817814031419759463095553891305116873863815150024958027606828384483146240354760018073423892789584978998272035112020162266069572983253988765223559468869312906412802207828274373560168622169144407448923798122328752247220027099541184628618256317124646875197535262355972126148600144238772938368968744743775534361267963084893653610773862562699830131232236458982947007275658501714815328309529630478754903856930482311542052418196689389092181020715375314986324307307828946944206600163184873800708721826339249446303971673574385962535753801611232442708317463926379061417598114518981501707697345
2026-07-25 05:47:31 | steps=28834 | digits=1026 | max_val_digits=1027 | n=937750822955910585893487958950451912757668909932741181773329585293982613576857389639202752951987272249809643318600581328070152261383673990774391155958680526329113094638420268821587586795988841180851413829525292840458564491768832731666080772468576547705711294820029526953760508168956225033795438231534424658102796116362317971424834632770010265208267715553245867475823177971345039746240642227792551318767405740501792485941743993907191841946439743126395641714529464777539520560049581544327235106539821797276183438195887097030008290053285314478513403223528032552786077596859436747970632970314641307637437619138938280285751302612007548055573149829461760408716084098504380002765900060007711301562011795776473513573599010436497404627966345160884907761420722812685115521190089832424437847200783852350733020299177511585874509860311855431509081455691544768687013736124792004824242072157696995872265358180357029261505780969782426566949717156299404091391380192873005806468100059294256965486177491637480277804655306760075191248546125953993
2026-07-25 13:47:02 | steps=29128 | digits=1026 | max_val_digits=1028 | n=526949589058364004370310427864320144119493349843042760875124372247850765887047756599765176679504183286059654423683128143581956423233288883082102802559720435037493540512913742377782754856256882247034778951671167818970522084860728417062440213456135283187641032186247481081309120508642838018937037155258610703934049584259493653120591734766729801947257625904876784145717641698684464766001201626970228178413539798385354757092224567812596688607936402226677432903027778291330913535610309584023918399105931824085265415229803862234913760459780191909173757360592067627459726335192145043567158488770281263106389148503320584046125371282781183839822013184427795871741611139873104359093686334536177528821329771385648184145502762057010793318992884759412093068975229906705390636699151279281078266238683248339896454485050813171190196579683321486894521037369554252556429942295870859892504587571224998501351067146154679543418057878805049577361448937090370691543526933027453272610129941809350782091383075263832305227505870889396429709811269642233
2026-08-03 22:33:06 | steps=29315 | digits=1026 | max_val_digits=1027 | n=934754179350252768127404628091270324756802870187699887229585847111077147823884068442581040518410820623335494365339744795236026404643560253471279305940441288815042461907723026420552372630705225553635561737565924001762955892613989728226600391207558074738774675272831515296842856384597870269611645844649900204469831338813134663377734342719981606582691835724720689710781662917364129587877522533090791729708068745209235907662373949097851172402564655714787140318433524094668551743645121072156903758349618064524253865815850308781255707976978090186817030894986030557049636021444401016401665156563418066483793806042106128672181416584673257926257904538327360036967929225017167862459753140596549768723396023057929953554605479923087402926793727315981331404841430150034442362072348238997947019683959763565014372706586678378866942985812583734043617258170392142235397291161726679419011023945757736816364950638577038842230757605347289508995826146042083306664636846565284697814929989539735636025948158960922133338491330042178397076768684889121
